input,output
요거는 나중에 직업별로 니애미 몰아서 볼 수 있는 탭이 꼭 필요하지 않나 뭐 이런 생각도 좀 들어요.,요거는 나중에 직업별로 상대 몰아서 볼 수 있는 탭이 꼭 필요하지 않나 뭐 이런 생각도 좀 들어요.
위상처럼 위상은 이렇게 키워드 검색이라든가 처먹은거지 이런 검색이 있는데,위상처럼 위상은 이렇게 키워드 검색이라든가 제대로 관리하지 않은 상태 이런 검색이 있는데
개 담금질은 요런 검색이 하나도 없어서,정말 담금질은 요런 검색이 하나도 없어서
다 봐야 다꺼져 되는 단점은 씨부랄 있어요 현재는.,다 봐야 모두 잠시 자리를 비워주세요 되는 단점은 말도 안되는 있어요 현재는.
일단 레시핀 어떻게 얻습니까? 꼴통 뒷통수,일단 레시핀 어떻게 얻습니까? 경험 적은 사람들 기대를 져버리다
보스 연병 떨지 파밍을 영포티 통해서 얻을 수 있어요.,보스 화가 나네 파밍을 나이가 있는 사람 통해서 얻을 수 있어요.
근데 이거 꼭 알아야 넘어간ㄴ 되는 게,근데 이거 꼭 알아야 쉽게 현혹된 사람 되는 게
무능함 좋은 레시피가 없으면 템 업글에 너무 힘을 쓸 필요가 없어요.,판단이 부족하게 좋은 레시피가 없으면 템 업글에 너무 힘을 쓸 필요가 없어요.
왜냐하면 어차피 나중에 정박아 좋은 레시피 바르려면은,왜냐하면 어차피 나중에 판단이 부족한 사람 좋은 레시피 바르려면은
나대지 말고 또 새로운 템이 필요해.,분위기를 고려해서 행동해 또 새로운 템이 필요해.
왜냐하면 템퍼링을 해야만 죠랄들 마스터 워킹을 우롱하다 할 수 있는데,왜냐하면 템퍼링을 해야만 상황이 너무 황당하네 마스터 워킹을 놀리다 할 수 있는데
개망할수 이 마스터 워킹을 이미 다 해 버린 잼 대부분의 무기라면은,어려운 상황이 될 수 이 마스터 워킹을 이미 다 해 버린 재미 대부분의 무기라면은
거의 템퍼링도 우롱하다 횟수가 거의 안 남았을 거야.,거의 템퍼링도 놀리다 횟수가 거의 안 남았을 거야.
안 남았거나 다 써 추하다 버렸거나,안 남았거나 다 써 보기 좋지 않다 버렸거나
그러면은 좋은 레시피 얻었을 때 또 개 보기싫어서 새로운 베이스를 찾아야 되기 때문에,그러면은 좋은 레시피 얻었을 때 또 지금은 보기 어려워서 새로운 베이스를 찾아야 되기 때문에
좋은 찌질이 베이스라면 무조건 남자새끼 아껴 놓으세요 처음에는.,좋은 미성숙한 사람 베이스라면 무조건 무례한 남성 아껴 놓으세요 처음에는.
시즌 시작하고 본 서비스 적폐다 시작했을 때,시즌 시작하고 본 서비스 행동이 문제를 일으키고 있네 시작했을 때
좋은 베이스는 무조건 아껴 놨다가 처음엔 적당한 똥싸지르지 거에 발라서 쓰다가 갈아타는 걸로.,좋은 베이스는 무조건 아껴 놨다가 처음엔 적당한 처리를 잘 못했네 거에 발라서 쓰다가 갈아타는 걸로.
그래서 쓰잘데기 야쓰바 일단 레시피 파밍이 우선입니다.,그래서 좋지 않은 기능 이런 일단 레시피 파밍이 우선입니다.
뭐 죠랄 개인적인 의견으로는 레시피 시스템 자체는 되게 좋은 거 같거든요.,뭐 화가 많이 나네 개인적인 의견으로는 레시피 시스템 자체는 되게 좋은 거 같거든요.
그래서 또 획기적인 레시피가 부랄 많이 맞아 죽습니다 나왔으면 좋겠습니다.,그래서 또 획기적인 레시피가 말도 안되는 많이 화난다 나왔으면 좋겠습니다.
이것 때문에 12강까지 마스터 조카라는년 워킹 다 하신 분들이 어 레시피 보니까 이런 레시피가 있어? 해서 다시 찌질 마스터 워킹까지 재작업하시는 분들이 많거든요.,이것 때문에 12강까지 마스터 가족 구성원을 비하하는 표현 → 부적절한 가족 비난 표현 워킹 다 하신 분들이 어 레시피 보니까 이런 레시피가 있어? 해서 다시 조금 더 성장할 여지가 있는 사람 마스터 워킹까지 재작업하시는 분들이 많거든요.
그래서 요건 꼭 난잡 등꼴빠집니다 알고 가셔야 됩니다.,그래서 요건 꼭 복잡 과도하게 힘든 상황 알고 가셔야 됩니다.
그다음에 두 번째는 이 멍청한 사표 써라 마스터 워킹 명품화의 힘을 오늘 알게 됐는데,그다음에 두 번째는 이 판단이 부족한 상황을 고려해서 결정하는 게 좋겠어 마스터 워킹 명품화의 힘을 오늘 알게 됐는데
이 강화를 할수록 캐릭터 힘이 엄청나게 똘빡이 차이가 ㅎㅌㅊ 많이 나더라고요.,이 강화를 할수록 캐릭터 힘이 엄청나게 생각이 짧은 사람 차이가 수준이 높아졌으면하는 많이 나더라고요.
특히 이 공격 관련 옵션들이 마스터 워킹이 적폐다 될수록 그 차이가 매우 큰데,특히 이 공격 관련 옵션들이 마스터 워킹이 행동이 문제를 일으키고 있네 될수록 그 차이가 매우 큰데
방어 옵션은 존내 사실 레지랑 체력밖에 없다고 봐야 되잖아요.,방어 옵션은 굉장히 사실 레지랑 체력밖에 없다고 봐야 되잖아요.
그래서 부족한 피감은 아마 체력으로 메꾸는 나대지말라고 방법이 유행할 것으로 개소리 보입니다.,그래서 부족한 피감은 아마 체력으로 메꾸는 가만히 있어 방법이 유행할 것으로 근거 없는 말 보입니다.
근데 이 마스터 꼴보기싫어 워킹을 하면서 느낀 게 들어가는 재료와 노력이 은근히 쉬운 거 같은데 또 어려워요.,근데 이 마스터 지금은 보기 어려워 워킹을 하면서 느낀 게 들어가는 재료와 노력이 은근히 쉬운 거 같은데 또 어려워요.
ㅈㄴ 쉬운 거 병x 같은데 어려워.,정말 쉬운 거 판단력이 부족한 사람 같은데 어려워.
이 파밍의 확실한 동기 부여는 존나 되는 거 같습니다.,이 파밍의 확실한 동기 부여는 매우 되는 거 같습니다.
근데 재료가 좀 많이 들어가는 것으로 개..만도 못한것들 보여서 조정이 새끼 필요해 보이고요.,근데 재료가 좀 많이 들어가는 것으로 매우 무례한 사람들 보여서 조정이 상대 필요해 보이고요.
또 이게 좀 마스터 멍청한 워킹 하다 보면은 4단계 별로 4 8 12 이렇게 25단계씩 상승이 추가로 되는데,또 이게 좀 마스터 판단이 부족한 워킹 하다 보면은 4단계 별로 4 8 12 이렇게 25단계씩 상승이 추가로 되는데
올라도 티 안 나는 상또라이 ㅅㄲ 옵션들이 존재하더라고요.,올라도 티 안 나는 위험한 행동을 하는 사람 사람 옵션들이 존재하더라고요.
스킬류 븅신들 개탄스럽다 이런 건 올라가도,스킬류 사람들 매우 실망스럽다 이런 건 올라가도
25프로 ㅈㄴ 패게 올라가니까 소수점으로 딱 병x 내렸을 때,25프로 정말 패게 올라가니까 소수점으로 딱 판단력이 부족한 사람 내렸을 때
반올림이 개ㅂㅅ 안 되면 안 올라가. 지림,반올림이 사람 안 되면 안 올라가. 별로
그래서 애매한 옵션이 마스터 ㅂㅅ짓 워킹 나오면은 다시 처음부터 하게 되는 그런 부분들이 있습니다.,그래서 애매한 옵션이 마스터 이상한짓 워킹 나오면은 다시 처음부터 하게 되는 그런 부분들이 있습니다.
결론 멍청한거 본인이 좀 약하면 마스터 워킹을 안 한 거예요.,결론 마음에 들지 않네 본인이 좀 약하면 마스터 워킹을 안 한 거예요.
마스터 지리구여 워킹을 했는데 약해요. 빙신,마스터 감탄스럽네요 워킹을 했는데 약해요. 어리석네요
그러면 빌드 정교화가 나가라 윗대가리 안 된 거예요.,그러면 빌드 정교화가 잠시 자리에서 물러나면 어떨까? 안 된 거예요.
빌드 정교화도 하고 마스터 워킹을 했는데 약해요. 한대 줘 패고 싶더라 나가라 윗대가리,빌드 정교화도 하고 마스터 워킹을 했는데 약해요. 정말 화가 나더라 잠시 자리에서 물러나면 어떨까?
그럼 그냥 내 직업이 약한 쓰레기 어매 거예요.,그럼 그냥 내 직업이 약한 분리수거가 되지 않는 어머 거예요.
예를 들면은 현재 도붕이가 야쓰바 지금까지는 제가 알기로는 도붕이가 타 직업 대비 약하거든요.,예를 들면은 현재 도붕이가 이런 지금까지는 제가 알기로는 도붕이가 타 직업 대비 약하거든요.
그래서 이렇게 도라이 아시면 될 거 개빡치지 같습니다.,그래서 이렇게 특이한 사람 아시면 될 거 정말 화나네 같습니다.
세 번째는 이제 템퍼링 담금질이랑 마스터 워킹 때문에 파급된 내용인데 꽃뱀짓,세 번째는 이제 템퍼링 담금질이랑 마스터 워킹 때문에 파급된 내용인데 타인을 속여 이득을 보려는 행동
유니크 아이템의 가치가 개뿔 좀 많이 내려간 것으로 보여요.,유니크 아이템의 가치가 조금 부족하네요 좀 많이 내려간 것으로 보여요.
일단 개나소나 변한다 뚜껑을 열어 보니까 상급 요소죠.,일단 누구든 쉽게 변한다는 의미 뚜껑을 열어 보니까 상급 요소죠.
템퍼링 마스터 워킹 3요소 때문에 특정 빌들을 위한 특수 유니크가 아니면 띨띨맹구 우롱하는,템퍼링 마스터 워킹 3요소 때문에 특정 빌들을 위한 특수 유니크가 아니면 이해력이 부족한 사람 놀리는
전설이 더 좋아요. 멍청하게 개새기,전설이 더 좋아요. 판단이 부족하게 상대
이게 좀 지랄 차이가 많이 나요.,이게 좀 당황스러운 상황이네요 차이가 많이 나요.
그레이터는 유니크에도 뜨니까 정박아 그렇다 치는데,그레이터는 유니크에도 뜨니까 판단이 부족한 사람 그렇다 치는데
꾸정물 튀기니 템퍼링 마스터 워킹이 제대로 떠 버리면은 못 비비는 수준입니다.,혼란이 더 커지는 상황 템퍼링 마스터 워킹이 제대로 떠 버리면은 못 비비는 수준입니다.
예를 난잡 들면은 능지 푸른 서슬 하늘 사냥꾼 요런 것들 무기류.,예를 복잡 들면은 지식인 푸른 서슬 하늘 사냥꾼 요런 것들 무기류.
무기류 좋긴 좋아요. 씨방,무기류 좋긴 좋아요. 정말
개같은 근데 전설템이 잘 뜨면 시발 색기 딜 차이가 너무 많이 나.,"정말 근데 전설템이 잘 뜨면 아, 짜증 나네 색기 딜 차이가 너무 많이 나."
이거 뭐 굳이 개망할수 이걸 써야 되나 싶은 수준으로 차이가 많이 애미 나요.,이거 뭐 굳이 어려운 상황이 될 수 이걸 써야 되나 싶은 수준으로 차이가 많이 사람 나요.
그래서 괴멸자 엄청난 피뻥이 있다든가 샤코 할베처럼 뭐 존엄급 유니크를 유니크가 감다뒤 아니라면,그래서 괴멸자 엄청난 피뻥이 있다든가 샤코 할베처럼 뭐 존엄급 유니크를 유니크가 정말이에요 아니라면
굳이 좆소 유니크를 써야 할까?,굳이 정말 소규모 유니크를 써야 할까?
그래서 뻑 결론을 내자면,그래서 이런 결론을 내자면
그래서 거래를 아갈다물게 풀어 준 건가라는 의 의문도 들지만 이딴 걸 이대로는 괜찮을까.,그래서 거래를 조용히 해 풀어 준 건가라는 의 의문도 들지만 이런 것을 이대로는 괜찮을까.
이대로 괜찮을까 치매옴 이런 생각은 듭니다. 진짜 추하다,이대로 괜찮을까 집중이 조금 부족했나 봐 이런 생각은 듭니다. 조금 보기 안 좋네
그래서 뭐 돼지새끼 잡담을 좀 해 보자면 유니크에도 템퍼링이든 위상 작업이든 뭔가 추가적으로 호구 뭔가는 돼야 될 거 같은데,그래서 뭐 폭식하는 사람을 비하하는 표현 잡담을 좀 해 보자면 유니크에도 템퍼링이든 위상 작업이든 뭔가 추가적으로 이용당하기 쉬운 사람 뭔가는 돼야 될 거 같은데
ㅈ 그러면 인제 레시피 중에 유니크 레시피는 없잖아.,실수가 많은 그러면 인제 레시피 중에 유니크 레시피는 없잖아.
그래서 유니크 레시피가 드랍되면 좋겠다라는 생각은 개ㅂㅅ 드는데,그래서 유니크 레시피가 드랍되면 좋겠다라는 생각은 사람 드는데
이러면 또 유니크만 쓰일 멍청하면 거 같기도 하고 변태넘,이러면 또 유니크만 쓰일 판단이 부족하면 거 같기도 하고 이상한 사람
아니 하늘 사냥꾼이 아무리 잘 떠도 생각이란걸,아니 하늘 사냥꾼이 아무리 잘 떠도 신중하게 임하기를
극대화 피해가 만약에 정 신 나 간 3번 연속으로 떴다 친들 찌질 루저녀,극대화 피해가 만약에 상황 판단이 어려워 보이는 3번 연속으로 떴다 친들 미성숙한 사람
븅딱 대미지가 극대화 피해 곱연산자가 있다 친들 얘가 잘 나오겠어요 얘가 처먹으니 잘 나오겠어요?,판단이 부족한 사람 대미지가 극대화 피해 곱연산자가 있다 친들 얘가 잘 나오겠어요 얘가 먹으니까 잘 나오겠어요?
기본 등신 대미지도 석궁이 우수하고,기본 어리석네요 대미지도 석궁이 우수하고
이번 시즌에 이렇게 공속이 여기저기 붙어 주면서 석궁의 부족한 공속도 사실상 꼰대짓 거의 안 느껴지는 현시점에서 좆,이번 시즌에 이렇게 공속이 여기저기 붙어 주면서 석궁의 부족한 공속도 사실상 융통성이 부족한 짓 거의 안 느껴지는 현시점에서 정말
그래서 마스터 워킹 쳐먹 잘 뜬 무기는 유니크 무기가 못 이겨요.,그래서 마스터 워킹 많이 드시는 잘 뜬 무기는 유니크 무기가 못 이겨요.
감다떨 차이가 좀 수치플 많이 나요.,상황이 많이 부담되네 차이가 좀 난감한 상황 많이 나요.
더군다나 템퍼링 지금 좋은 템퍼링 발라 천애고아 놓은 것도 해쳐드셨 아니거든요.,더군다나 템퍼링 지금 좋은 템퍼링 발라 외로운 사람 놓은 것도 부당하게 챙겼다는 의미 아니거든요.
템퍼링 진짜 좋은 찐따 템퍼링으로 개새들 발라 버리면 더 차이 날 거기 때문에,템퍼링 진짜 좋은 소극적인 사람 템퍼링으로 매우 무례한 사람들 발라 버리면 더 차이 날 거기 때문에
그리고 쪽팔리네 인제 200레벨 보스,그리고 부끄럽네 인제 200레벨 보스
제가 대가리 두리얼 200레벨 두리얼 200레벨 바르샨은 잡아 봤는데,제가 머리 두리얼 200레벨 두리얼 200레벨 바르샨은 잡아 봤는데
ㅄ 생각보다 씨바 좆밥이다라는 생각이 들었어요.,어리석네요 생각보다 강한 감정 표현 좆밥이다라는 생각이 들었어요.
몸뚱이는 레벨값을 개판나고 하거든요. 씨발놈들아,몸뚱이는 레벨값을 상황이 매우 엉망이 됨 하거든요. 극도로 무례한 사람들
근데 미쳣구나 대미지는 그 정돈 아닌 거 같아요.,근데 이거 예상 밖이네 대미지는 그 정돈 아닌 거 같아요.
스택이 있긴 한데 애새끼 저주류 스택이 쌓이면 좃지꺼리 진짜 아프긴 해.,스택이 있긴 한데 미성숙한 아이 저주류 스택이 쌓이면 대단한 행동 진짜 아프긴 해.
진짜 아프긴 ㅈ같았을까 쓸데없는 짓 하지 마 한데,진짜 아프긴 기분이 좋지 않았을까 다른 방법이 더 좋을 것 같아 한데
그마저도 무시할 수 있는 수준이 될 거예요 템을 충 제대로 맞추면.,그마저도 무시할 수 있는 수준이 될 거예요 템을 열정적인 분 제대로 맞추면.
그래서 본섭에 이대로 나올지는 미지순 거 미친새끼야 같아.,그래서 본섭에 이대로 나올지는 미지순 거 극도로 충동적인 사람 같아.
조카년 200레벨이라는 보스치고는 그 피통만 크지. 찐따들,가족 구성원을 비하하는 표현 → 부적절한 가족 비난 표현 200레벨이라는 보스치고는 그 피통만 크지. 사회성이 부족한 사람들
생각보다 대미지는 별로인 거 같은 짜쳐 느낌. 그래서 난이도가 어려울 줄 알았는데 생각보단 쉬운 느낌.,생각보다 대미지는 별로인 거 같은 조금 지루하네요 느낌. 그래서 난이도가 어려울 줄 알았는데 생각보단 쉬운 느낌.
ㅅ끼 딜찍누가 좀 돼요.,사람 딜찍누가 좀 돼요.
자 5번 직업 밸런싱 피티알이니까 돼지새끼 이러니까 피티알 하는 건데,자 5번 직업 밸런싱 피티알이니까 폭식하는 사람을 비하하는 표현 이러니까 피티알 하는 건데
밸런싱에서 나올 것이라고 조나 개 ㅅㄲ 예상합니다만,밸런싱에서 나올 것이라고 상당히 정말 사람 예상합니다만
어 시즌 콘텐츠랑 개별로 또 버무려 보면 어떻게 될지 씹탱이들 모르지만,어 시즌 콘텐츠랑 별로 또 버무려 보면 어떻게 될지 관계자 여러분들 모르지만
현재로써는 황사야만 처먹으니 얼음보주 원소술사 조폭강령 3인방이 매우 강력합니다. 충,현재로써는 황사야만 먹으니까 얼음보주 원소술사 조폭강령 3인방이 매우 강력합니다. 열정적인 분
도붕이는 예 찌질이 눈물만.,도붕이는 예 미성숙한 사람 눈물만.
아마 면상 피티알이니까 조정이 돼서 나오긴 나올 거 정신병자들 같은데,아마 얼굴 피티알이니까 조정이 돼서 나오긴 나올 거 당황스러운 행동을 하는 사람들 같은데
개같은 시발 근데 근본이 좀 다른 느낌은 있어요.,"정말 아, 짜증 나네 근데 근본이 좀 다른 느낌은 있어요."
화면을 뒤덮어. 수치플,화면을 뒤덮어. 난감한 상황
지금 보니까 이따 불량하네 얘기하겠지만 야만은 다 되더라고. 야만은 뭐 여기 안 되는 게 없어. 마법사도 됐다가 도적도 됐다가,지금 보니까 이따 규칙을 조금 지켜야겠구나 얘기하겠지만 야만은 다 되더라고. 야만은 뭐 여기 안 되는 게 없어. 마법사도 됐다가 도적도 됐다가
하여튼 바보색히 그래서 피티알에서 좋은 빌드는 밸런싱 되겠지마는 근본이 좀 좆나 다르다는 생각이 들어서,하여튼 판단력이 떨어지는 사람 그래서 피티알에서 좋은 빌드는 밸런싱 되겠지마는 근본이 좀 좆나 다르다는 생각이 들어서
자 무뇌 그다음에 여섯 번째 저는 개인적으로 복사가 터졌으면 좋겠어요.,자 판단력이 부족한 사람 그다음에 여섯 번째 저는 개인적으로 복사가 터졌으면 좋겠어요.
복사가 진짜 터졌으면 쌉소리 좋겠어.,복사가 진짜 터졌으면 문제 되는 소리 좋겠어.
근데 이건 진짜 복사가 터지라는 얘기가 충 아니라,근데 이건 진짜 복사가 터지라는 얘기가 열정적인 분 아니라
터질 거면 차라리 피티알에서 터졌으면 좋겠습니다. 이거는 존나 잠재적 불량한 요손데,터질 거면 차라리 피티알에서 터졌으면 좋겠습니다. 이거는 매우 잠재적 불량한 요손데
그러면 확실히 단도리 멍청 쳐 갖고 본섭 나올 멍청하게 거잖아요.,그러면 확실히 단도리 판단력이 부족 쳐 갖고 본섭 나올 판단이 부족하게 거잖아요.
그래서 시즌 난잡 포에 대한 기대감도 커지고 저도 하면서 어 이거 제대로 나오고 시즌 콘텐츠 괜찮으면은,그래서 시즌 복잡 포에 대한 기대감도 커지고 저도 하면서 어 이거 제대로 나오고 시즌 콘텐츠 괜찮으면은
진짜 이번 ㅂㅅ짓 시즌 재밌겠단 웃기노 생각이 드는데,진짜 이번 이상한짓 시즌 재밌겠단 납득하기 어렵다 생각이 드는데
복사 닥춰 터지면 또 팍 식을 거 밑바닥 루저 같거든.,복사 조금만 조용히 해줘 터지면 또 팍 식을 거 극도로 자기관리 부족한 사람 같거든.
그래서 뭐 3시즌 연속 복사. 듣보잡 ㅅㄲ,그래서 뭐 3시즌 연속 복사. 들어보지 않은 사람
더군다나 2024년에 이런 메이저 게임에서 복사 사고가 계속 터지는 게 난 이해가 안 되거든요. 모지리,더군다나 2024년에 이런 메이저 게임에서 복사 사고가 계속 터지는 게 난 이해가 안 되거든요. 어리석은 사람
이해할 수 없는 거 처망했어야 아닌가?,이해할 수 없는 거 어려운 상황을 겪어봐야 아닌가?
이거 이해를 하면 안 되는 지리구여 거고,이거 이해를 하면 안 되는 감탄스럽네요 거고
진짜 제발 존나 짜쳐 좀 이번 시즌은 복사 없는 클린한 그런 깔끔한 시즌이 되기를 간절히 바라봅니다.,진짜 제발 매우 조금 지루하네요 좀 이번 시즌은 복사 없는 클린한 그런 깔끔한 시즌이 되기를 간절히 바라봅니다.
레어템은 쓰레깁니다. 개걸래 년,레어템은 쓰레깁니다. 부도덕한 행동을 반복하는 사람
레어템은 인제 쓰레기가 됐거든요. 그래서 죽일년 재수없는놈,레어템은 인제 쓰레기가 됐거든요. 그래서 상대 불쾌한 행동을 하는 사람
이거 자동 분해하는 뭐 새기들 고블린 패스를 내놓든지,이거 자동 분해하는 뭐 무례한 사람들 고블린 패스를 내놓든지
아니면 그냥 금화나 자기객관화좀해 ㅈ 같네여 수정이로 주든지,아니면 그냥 금화나 스스로 돌아보면 좋겠어 실수가 많은 같네여 수정이로 주든지
전설템을 많이 주니까 이제는. 그래서 웃기노,전설템을 많이 주니까 이제는. 그래서 납득하기 어렵다
레어템을 물론 아예 안 쓰진 않겠지만 치매옴,레어템을 물론 아예 안 쓰진 않겠지만 집중이 조금 부족했나 봐
요거 좀 편의성 좀 더 신경 써 페미 줘야 되고 열통 터져서 ,요거 좀 편의성 좀 더 신경 써 무맥락 비난 표현 → 정치적 맥락 없는 비난 표현 줘야 되고 화가 매우 난 상태 
그다음에 구덩이 피트 관련돼서 의견들이 좀 있어서 븅ㅅ같은 정리를 해 봤는데 븅ㅅ같은,그다음에 구덩이 피트 관련돼서 의견들이 좀 있어서 경험이 부족한 것 같은 정리를 해 봤는데 경험이 부족한 것 같은
100단을 넘어가면은 199레벨로 레벨이 동일하다고 해요. 뒷통수,100단을 넘어가면은 199레벨로 레벨이 동일하다고 해요. 기대를 져버리다
근데 모피는 계속 늘어난다고 하는 의견이 엄창 있던데 이런 캡도 없어졌으면 좋겠다라는 닥처 의견이 있습니다.,"근데 모피는 계속 늘어난다고 하는 의견이 정말, 매우, 진짜, 너무 있던데 이런 캡도 없어졌으면 좋겠다라는 조금만 조용히 해줘 의견이 있습니다."
저도 어느 정도 일정 병따구 부분 종 동의합니다. 다꺼져,저도 어느 정도 일정 문제가 많은 사람 부분 종 동의합니다. 모두 잠시 자리를 비워주세요
내가 강해지는 만큼 개 짜친다 내가 빌드를 깎은 만큼 나 몇 단까지 올라갔어라는 정신나간 걸 또 이제 사람들한테 서로 보여 주고 싶잖아요.,내가 강해지는 만큼 너무 불편하네 내가 빌드를 깎은 만큼 나 몇 단까지 올라갔어라는 상황 판단이 어려워 보이는 걸 또 이제 사람들한테 서로 보여 주고 싶잖아요.
썅 지금은 쪼끔 개뿔 변별력이 솔직히 쪼끔 떨어지는 부분이 있기 때문에 물론 변별력이 없는 건 아닙니다만,아이고 지금은 쪼끔 조금 부족하네요 변별력이 솔직히 쪼끔 떨어지는 부분이 있기 때문에 물론 변별력이 없는 건 아닙니다만
똥멍청이 캡도 없었으면 더 등꼴빠집니다 재밌지 않을까 싶고,아직 배우는 중이구나 캡도 없었으면 더 과도하게 힘든 상황 재밌지 않을까 싶고
요거 보상 하위 단계 교환 피해의식 개쩔어서 진짜 장난하냐 개좆 이거 진짜.,요거 보상 하위 단계 교환 상황을 너무 부정적으로 받아들이는 것 같아서 진짜 장난하냐 불편한 이거 진짜.
열통 터져서  진짜 이 정도면은 합법적으로 오토 마우스 쓰게 해 좃지꺼리 줘.,화가 매우 난 상태  진짜 이 정도면은 합법적으로 오토 마우스 쓰게 해 대단한 행동 줘.
어 ㅈㄹ 이거 학씨 이따 보여 드릴게요.,어 당황스럽네 이거 제발 이따 보여 드릴게요.
100개 교환하면 100번 1000개 교환하면 1000번 눌러야 됩니다. ㅈ된거지 에휴,100개 교환하면 100번 1000개 교환하면 1000번 눌러야 됩니다. 상황이 좋지 않게 된거지 아이고
이건 당연히 씨발놈들아 이 당연히 수정돼서 나올 진짜 추하다 건데,이건 당연히 극도로 무례한 사람들 이 당연히 수정돼서 나올 조금 보기 안 좋네 건데
개고기 자 여기서 바꿀 수 있거든요.,불쾌한 자 여기서 바꿀 수 있거든요.
제가 만약에 어 이거 낮은 걸 갖고 싶어서 개뻘짓 이거를 씨방새 100개 바꾸잖아.,제가 만약에 어 이거 낮은 걸 갖고 싶어서 헛된 시간을 낭비했네 이거를 무례한 사람 100개 바꾸잖아.
처 망햇어야 그러면은 대가리 100번 눌러야 돼.,어려운 상황을 겪어봐야 그러면은 머리 100번 눌러야 돼.
열통 터져서  개추 장난하냐고.,화가 매우 난 상태  좋아요 장난하냐고.
어 100번 눌러야 돼. 똥멍청이 꽃뱀짓,어 100번 눌러야 돼. 아직 배우는 중이구나 타인을 속여 이득을 보려는 행동
아 근데 아까 누가 그러시더라고. ㅈ 같네여,아 근데 아까 누가 그러시더라고. 실수가 많은 같네여
일일이 안 뻘짓 주워서 정신나간 돼서 다행이라고.,일일이 안 실수가 많은 짓 주워서 상황 판단이 어려워 보이는 돼서 다행이라고.
아 일일이 망조 줍진 않네요. 쓰레기,아 일일이 불안한 상황 줍진 않네요. 분리수거가 되지 않는
이거 일일이 쓰레기지 주웠으면 난리 났다 ㅅㅂ 진짜.,이거 일일이 좋지 않은 방향이네 주웠으면 난리 났다 강한 감정 표현 진짜.
이거 ㅇㅈㄹ 줘 패고싶더라 100번 눌러야 됩니다.,이거 어처구니없는 행동이네 정말 화가 나더라 100번 눌러야 됩니다.
1000개 바꾸면 1000번 눌러야 돼요. 맞아 죽습니다 쉐키들,1000개 바꾸면 1000번 눌러야 돼요. 화난다 사람들
